,book title,ratings,avg_score,author,score,votes
0,Pride and Prejudice,"4,835,087",4.30,Jane Austen,"244,769,","2,476"
1,"Fifty Shades of Grey (Fifty Shades, #1)","2,875,675",3.67,E.L. James,"230,702,","2,340"
2,"Beautiful Disaster (Beautiful, #1)",avg,really,Jamie McGuire,"215,742,","2,189"
3,"Twilight (The Twilight Saga, #1)","7,343,439",3.67,Stephenie Meyer,"141,208,","1,449"
4,"The Notebook (The Notebook, #1)","1,847,117",4.16,Nicholas Sparks,"100,270,","1,030"
5,"Perfect Chemistry (Perfect Chemistry, #1)","263,521",4.04,Simone Elkeles,"98,005,","1,002"
6,"Outlander (Outlander, #1)","1,158,001",4.26,Diana Gabaldon,"92,124,",939
7,Jane Eyre,"2,336,009",4.16,Charlotte Brontë,"90,223,",926
8,"Thoughtless (Thoughtless, #1)","141,933",4.08,S.C. Stephens,"81,928,",843
9,"Bared to You (Crossfire, #1)","551,749",4.13,Sylvia Day,"79,629,",828
10,Gone with the Wind,"1,258,942",4.31,Margaret Mitchell,"70,995,",734
11,"Easy (Contours of the Heart, #1)","229,304",4.07,Tammara Webber,"69,175,",723
12,"Gabriel's Inferno (Gabriel's Inferno, #1)","161,341",3.98,Sylvain Reynard,"64,677,",673
13,The Time Traveler's Wife,avg,really,Audrey Niffenegger,"59,574,",619
14,"Slammed (Slammed, #1)","451,176",4.14,Colleen Hoover,"58,162,",613
15,"Anna and the French Kiss (Anna and the French Kiss, #1)","465,147",3.96,Stephanie Perkins,"57,668,",595
16,A Walk to Remember,"846,323",4.20,Nicholas Sparks,"53,620,",563
17,"Vampire Academy (Vampire Academy, #1)","681,782",4.10,Richelle Mead,"52,553,",548
18,Wuthering Heights,"2,114,920",3.90,Emily Brontë,"52,379,",548
19,"Dark Lover (Black Dagger Brotherhood, #1)","355,525",4.15,J.R. Ward,"50,675,",532
20,The Fault in Our Stars,"5,747,923",4.12,John Green,"47,927,",507
21,"Hush, Hush (Hush, Hush, #1)","745,344",3.92,Becca Fitzpatrick,"47,167,",496
22,Persuasion,"781,850",4.15,Jane Austen,"46,166,",485
23,Sense and Sensibility,"1,302,143",4.09,Jane Austen,"45,395,",486
24,"The Host (The Host, #1)","1,050,447",3.86,Stephenie Meyer,"42,876,",452
25,"Divergent (Divergent, #1)","4,396,050",4.13,Veronica Roth,"42,800,",454
26,"City of Bones (The Mortal Instruments, #1)","2,176,458",4.07,Cassandra Clare,"40,843,",435
27,"Obsidian (Lux, #1)","296,737",4.13,Jennifer L. Armentrout,"37,842,",403
28,"Love Unscripted (Love, #1)","68,290",4.02,Tina Reber,"36,306,",385
29,"On the Island (On the Island, #1)","87,132",4.11,Tracey Garvis Graves,"34,592,",371
30,"Hopeless (Hopeless, #1)","685,686",4.22,Colleen Hoover,"33,686,",365
31,Memoirs of a Geisha,"2,115,335",4.16,Arthur Golden,"33,388,",355
32,"On Dublin Street (On Dublin Street, #1)","205,295",4.15,Samantha Young,"30,611,",333
33,"Shiver (The Wolves of Mercy Falls, #1)","497,106",3.76,Maggie Stiefvater,"30,266,",320
34,"Halfway to the Grave (Night Huntress, #1)","165,020",4.13,Jeaniene Frost,"26,919,",287
35,Water for Elephants,"1,705,088",4.11,Sara Gruen,"26,019,",279
36,"The Bronze Horseman (The Bronze Horseman, #1)","95,501",4.29,Paullina Simons,"25,773,",268
37,The Truth About Forever,"226,325",4.12,Sarah Dessen,"25,634,",273
38,"It Had to Be You (Chicago Stars, #1)",avg,really,Susan Elizabeth Phillips,"25,352,",282
39,Kiss an Angel,"70,062",4.16,Susan Elizabeth Phillips,"25,268,",276
40,"Reason to Breathe (Breathing, #1)","95,472",4.21,Rebecca    Donovan,"24,315,",263
41,Emma,"988,951",4.05,Jane Austen,"23,000,",246
42,"The Edge of Never (The Edge of Never, #1)","150,089",4.21,J.A. Redmerski,"22,777,",254
43,"Flat-Out Love (Flat-Out Love, #1)",avg,really,Jessica Park,"21,010,",225
44,"A Kingdom of Dreams (Westmoreland, #1)","56,416",4.20,Judith McNaught,"20,407,",221
45,"Leaving Paradise (Leaving Paradise, #1)","44,152",3.99,Simone Elkeles,"20,332,",220
46,"Clockwork Angel (The Infernal Devices, #1)","878,365",4.31,Cassandra Clare,"20,239,",222
47,This Lullaby,"180,848",4.01,Sarah Dessen,"20,069,",224
48,"Matched (Matched, #1)","815,747",3.62,Ally Condie,"19,551,",210
49,Romeo and Juliet,"2,832,343",3.74,William Shakespeare,"18,905,",206
50,"The Vincent Boys (The Vincent Boys, #1)","75,188",3.94,Abbi Glines,"18,568,",205
51,"Something About You (FBI/US Attorney, #1)","63,837",3.94,Julie James,"17,995,",198
52,"The Summer I Turned Pretty (Summer, #1)","1,136,312",3.74,Jenny Han,"17,913,",193
53,Just the Sexiest Man Alive,"45,670",3.91,Julie James,"17,911,",203
54,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)","196,106",3.79,Kody Keplinger,"17,874,",194
55,"The Bride (Lairds' Fiancées, #1)","70,726",4.22,Julie Garwood,"17,598,",191
56,Along for the Ride,"212,267",4.03,Sarah Dessen,"17,506,",193
